product_name,product_id
Trek 820 - 2016,1
Surly Krampus Frameset - 2018,121
Trek Kids' Dual Sport - 2018,125
Trek Domane SLR 6 Disc Women's - 2018,154
Electra Townie Go! 8i Ladies' - 2018,195
Trek Precaliber 12 Girl's - 2018,267
Electra Savannah 1 (20-inch) - Girl's - 2018,284
Electra Sweet Ride 1 (20-inch) - Girl's - 2018,291
Trek Checkpoint ALR 4 Women's - 2019,316
Trek Checkpoint ALR 5 - 2019,317
Trek Checkpoint ALR 5 Women's - 2019,318
Trek Checkpoint SL 5 Women's - 2019,319
Trek Checkpoint SL 6 - 2019,320
Trek Checkpoint ALR Frameset - 2019,321
