Row Labels,Sum of Total_sales 
1,11397.94
4,2899.99
Trek Fuel EX 8 29 - 2016,2899.99
8,3599.98
Trek Remedy 29 Carbon Frameset - 2016,3599.98
10,3098
Surly Straggler - 2016,3098
16,1199.98
Electra Townie Original 7D EQ - 2016,1199.98
20,599.99
Electra Townie Original 7D EQ - Women's - 2016,599.99
2,1799.97
16,1199.98
Electra Townie Original 7D EQ - 2016,1199.98
20,599.99
Electra Townie Original 7D EQ - Women's - 2016,599.99
3,1599.98
3,999.99
Surly Wednesday Frameset - 2016,999.99
20,599.99
Electra Townie Original 7D EQ - Women's - 2016,599.99
4,1499.98
2,1499.98
Ritchey Timberwolf Frameset - 2016,1499.98
5,4126.99
10,3098
Surly Straggler - 2016,3098
17,429
Pure Cycles Vine 8-Speed - 2016,429
26,599.99
Electra Townie Original 7D EQ - 2016,599.99
6,10148.93
3,1999.98
Surly Wednesday Frameset - 2016,1999.98
9,5999.98
Trek Conduit+ - 2016,5999.98
12,1099.98
Electra Townie Original 21D - 2016,1099.98
18,449
Pure Cycles Western 3-Speed - Women's - 2015/2016,449
20,599.99
Electra Townie Original 7D EQ - Women's - 2016,599.99
7,2387.98
3,999.99
Surly Wednesday Frameset - 2016,999.99
15,529.99
Electra Moto 1 - 2016,529.99
17,858
Pure Cycles Vine 8-Speed - 2016,858
8,1469.97
20,1199.98
Electra Townie Original 7D EQ - Women's - 2016,1199.98
22,269.99
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99
9,7999.98
7,7999.98
Trek Slash 8 27.5 - 2016,7999.98
10,269.99
14,269.99
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99
11,3539.95
8,1799.99
Trek Remedy 29 Carbon Frameset - 2016,1799.99
16,1199.98
Electra Townie Original 7D EQ - 2016,1199.98
22,539.98
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,539.98
12,7480.97
4,5799.98
Trek Fuel EX 8 29 - 2016,5799.98
11,1680.99
Surly Straggler 650b - 2016,1680.99
13,3527.95
13,269.99
Electra Cruiser 1 (24-Inch) - 2016,269.99
16,1199.98
Electra Townie Original 7D EQ - 2016,1199.98
17,858
Pure Cycles Vine 8-Speed - 2016,858
20,1199.98
Electra Townie Original 7D EQ - Women's - 2016,1199.98
14,469.99
6,469.99
Surly Ice Cream Truck Frameset - 2016,469.99
15,4397.95
8,1799.99
Trek Remedy 29 Carbon Frameset - 2016,1799.99
12,1099.98
Electra Townie Original 21D - 2016,1099.98
18,898
Pure Cycles Western 3-Speed - Women's - 2015/2016,898
23,599.98
Electra Girl's Hawaii 1 (20-inch) - 2015/2016,599.98
16,2879.95
8,1799.99
Trek Remedy 29 Carbon Frameset - 2016,1799.99
